descrizione;descrizione_bis
Abbacchio In Parti;Abbacchio In Parti
Abbacchio Intero;Abbacchio Intero / Metà
Abbacchio MetÓ;Abbacchio Intero / Metà
Agnello Da Latte In Parti;Agnello Da Latte In Parti
Agnello Da Latte Intero;Agnello Da Latte Intero / Metà
Agnello Da Latte MetÓ;Agnello Da Latte Intero / Metà
Alette Arrosto Pollo;Alette Arrosto Pollo 
Alette Impanate Pollo;Alette Impanate Pollo
Alette Piccanti / Diavola Pollo;Alette Piccanti / Diavola Pollo
Alette Pollo;Alette Pollo
Alette Unite Pollo;Alette Pollo
Ali Tacchino;Ali Tacchino
Anatra In Parti / A Pezzi;Anatra In Parti / A Pezzi
Anatra Intera;Anatra Intera
Busto Anatra;Anatra Intera / Busto
Anime Abbacchio;Anime Abbacchio
Animelle Vitello;Anime Vitello
Anteriore Coniglio;Anteriore Coniglio
Arrosticini / Spiedini Agnello;Arrosticini / Spiedini Agnello
Arrosticini / Spiedini Vitello;Arrosticini / Spiedini Vitello
Arrosticini B.A.;Arrosticini B.A.
Arrosticini Impanati Pollo;Arrosticini Impanati Pollo
Arrosticini Piemontese B.A.;Arrosticini Piemontese B.A.
Arrosticini Pollo;Arrosticini Pollo 
Arrosticini Scottona B.A.;Arrosticini Scottona B.A.
Arrosticini Suino;Arrosticini Suino
Arrosticini Tacchino;Arrosticini Tacchino 
Arrosto B.A.;Arrosto B.A.
Arrosto Magro B.A.;Arrosto Magro B.A.
Arrosto Magro Piemontese B.A.;Arrosto Magro Piemontese B.A.
Arrosto Magro Scottona B.A.;Arrosto Magro Scottona B.A.
Arrosto Misto Pollo E Tacchino;Arrosto Misto Pollo E Tacchino
Arrosto Pollo;Arrosto Pollo
Arrosto Suino;Arrosto Suino
Arrosto Tacchino;Arrosto Tacchino
Arrosto Vitello;Arrosto Vitello
RollÚ B.A.;Arrotolato / Rollé B.A.
Arrotolato / RollÚ Coniglio;Arrotolato / Rollé Coniglio
Arrotolato / RollÚ Faraona;Arrotolato / Rollé Faraona
RollÚ Farcito B.A.;Arrotolato / Rollé Farcito B.A.
Arrotolato Pollo;Arrotolato / Rollé Pollo
RollÚ Pollo;Arrotolato / Rollé Pollo
Arrotolato / RollÚ Suino;Arrotolato / Rollé Suino
Arrotolato Tacchino;Arrotolato / Rollé Tacchino
RollÚ Tacchino;Arrotolato / Rollé Tacchino
Arrotolato / RollÚ Vitello;Arrotolato / Rollé Vitello
Assortimento Misto Agnellone;Assortimento Misto Agnellone
Assortimento Misto Suino;Assortimento Misto Suino
Bastoncini Di Pollo;Bastoncini Di Pollo
Battuta Fassona B. A.;Battuta Fassona B. A.
