codprv;des;des_Tris
7;Italia;Mar Mediterraneo
8;Cile;Oceano Pacifico
9;Spagna;Oceano Atlantico Centro Orientale
10;Argentina;Oceano Atlantico Sud Occidentale
11;Costa Rica;Oceano Atlantico Centro Occidentale
12;Ecuador;Oceano Atlantico Centro Occidentale
13;Uruguay;Oceano Pacifico
14;Egitto;Mar Mediterraneo
15;Israele;Mar Mediterraneo
16;Cipro;Mar Mediterraneo
17;Nuova Zelanda;Oceano Pacifico
18;Costa d'Avorio;Oceano Atlantico Centro Orientale
19;Panama;Oceano Atlantico Centro Occidentale
20;Colombia;Oceano Atlantico Centro Occidentale
21;Marocco;Oceano Atlantico Centro Orientale
22;Sud Africa;Oceano Atlantico Sud Orientale
23;Brasile;Oceano Atlantico Sud Occidentale
24;Turchia;Mar Mediterraneo
25;Francia;Oceano Atlantico Nord Orientale
26;Olanda / Paesi Bassi;Oceano Atlantico Nord Orientale
28;Grecia;Mar Mediterraneo
30;Cina;Oceano Pacifico
31;Canada;Oceano Atlantico Nord Occidentale
32;California;Oceano Pacifico
33;India;Oceano Indiano
34;Ucraina;Oceano Atlantico Nord Orientale
35;Asia;Oceano Indiano
36;Filippine;Oceano Indiano
37;Thailandia;Oceano Indiano
38;Messico;Oceano Atlantico Centro Occidentale
39;Tunisia;Mar Mediterraneo
40;Libano;
41;Iran;
42;Tibet;
43;Himalaya;
44;Texas;
45;Usa;Oceano Atlantico Nord Occidentale
46;Mozambico;Oceano Indiano
47;America Centrale;Oceano Atlantico Centro Occidentale
48;Peru;Oceano Pacifico
49;Germania;Oceano Atlantico Nord Orientale
50;Australia;Oceano Pacifico
51;Santo Domingo;Oceano Atlantico Centro Occidentale
52;Indonesia;Oceano Pacifico
53;Sri Lanka;Oceano Indiano
54;Bulgaria;
55;Belgio;
56;Repubblica Dominicana;Oceano Atlantico Centro Occidentale
57;Isole de la Reu;Oceano Indiano
58;Vietnam;Oceano Indiano
59;Camerun;Oceano Atlantico Centro Orientale
60;Romania;Mar Mediterraneo
61;Polonia;Oceano Atlantico Nord Orientale
62;Kenya;Lago Vittoria
63;Malawi;
65;Zimbawe;
66;Africa;Lago Vittoria
67;Mauritius;Oceano Indiano
69;Honduras;Oceano Atlantico Centro Occidentale
70;Madagascar;Oceano Indiano
71;Ghana;Oceano Atlantico Centro Orientale
74;Burkina Faso;
75;Senegal;Oceano Atlantico Centro Orientale
76;Tahiti;Oceano Indiano
77;Austria;
78;Nicaragua;Oceano Atlantico Centro Occidentale
80;Lituania;Oceano Atlantico Nord Orientale
81;Giappone;Oceano Pacifico
82;Croazia;Mar Mediterraneo
83;America;Oceano Atlantico Centro Occidentale
84;Portorico;Oceano Atlantico Centro Occidentale
88;Danimarca;Oceano Atlantico Nord Orientale
89;Sud America;Oceano Atlantico Sud Occidentale
90;Etiopia;
91;Guadalupe;Oceano Atlantico Centro Occidentale
101;Gran Bretagna;Oceano Atlantico Nord Orientale
102;Oceano Atlantico Nord Orientale;Oceano Atlantico Nord Orientale
103;Oceano Pacifico;Oceano Pacifico
104;Oceano Indiano;Oceano Indiano
105;Mar Mediterraneo;Mar Mediterraneo
106;Mar Baltico;Oceano Atlantico Nord Orientale
107;Sardegna;Mar Mediterraneo
108;Norvegia;Oceano Atlantico Nord Orientale
109;Uganda;Lago Vittoria
110;Tanzania;Lago Vittoria
111;Oceano Atlantico;Oceano Atlantico
112;Oceano Atlantico Centro Occidentale;Oceano Atlantico Centro Occidentale
114;Irlanda;Oceano Atlantico Nord Orientale
115;Oceano Atlantico Nord Occidentale;Oceano Atlantico Nord Occidentale
116;Oceano Atlantico Centro Orientale;Oceano Atlantico Centro Orientale
117;Oceano Atlantico Sud Occidentale;Oceano Atlantico Sud Occidentale
118;Oceano Atlantico Sud Orientale;Oceano Atlantico Sud Orientale
119;Mar Nero;Mar Nero
120;Portogallo;Oceano Atlantico Centro Orientale
121;Scozia;Oceano Atlantico Nord Orientale
122;Guatemala;Oceano Atlantico Centro Occidentale
123;Taranto;Mar Mediterraneo
124;Sicilia;Mar Mediterraneo
125;Malta;Mar Mediterraneo
126;Albania;Mar Mediterraneo
127;Russia;Oceano Atlantico Nord Orientale
128;Mare Del Nord;Oceano Atlantico Nord Orientale
129;Pakistan;Oceano Indiano
130;Svizzera;
131;Cuba;Oceano Atlantico Centro Occidentale
132;Slovenia;Mar Mediterraneo
133;Venezuela;Oceano Atlantico Centro Occidentale
134;Ungheria;
135;UE / Unione Europea;
136;Mar Adriatico;Mar Mediterraneo
138;Lago Vittoria;Lago Vittoria
140;Svezia;Oceano Atlantico Nord Orientale
141;La Manica Nord Orientale;Oceano Atlantico Nord Orientale
142;Corea Del Sud;Oceano Pacifico
143;Corea Del Nord;Oceano Pacifico
146;Islanda;Oceano Atlantico Nord Orientale
147;Far Oer;Oceano Atlantico Nord Orientale
